Country,REF_AREA,Indicator,Time period,Infant Mortality Rate
Afghanistan,AFG, Infant mortality rate,2000,90.56181642
Afghanistan,AFG, Infant mortality rate,2005,77.41226387
Afghanistan,AFG, Infant mortality rate,2010,64.20548787
Afghanistan,AFG, Infant mortality rate,2015,52.99673551
Afghanistan,AFG, Infant mortality rate,2017,49.37855761
Afghanistan,AFG, Infant mortality rate,2019,46.27563445
Angola,AGO, Infant mortality rate,2000,121.8909018
Angola,AGO, Infant mortality rate,2005,100.9522988
Angola,AGO, Infant mortality rate,2010,75.70461275
Angola,AGO, Infant mortality rate,2015,57.89454035
Angola,AGO, Infant mortality rate,2017,53.79304399
Angola,AGO, Infant mortality rate,2019,50.38164511
Albania,ALB, Infant mortality rate,2000,24.07883972
Albania,ALB, Infant mortality rate,2005,17.84291158
Albania,ALB, Infant mortality rate,2010,11.86517721
Albania,ALB, Infant mortality rate,2015,8.520094824
Albania,ALB, Infant mortality rate,2017,8.305000031
Albania,ALB, Infant mortality rate,2019,8.350979465
United Arab Emirates,ARE, Infant mortality rate,2000,9.579452028
United Arab Emirates,ARE, Infant mortality rate,2005,8.423940913
United Arab Emirates,ARE, Infant mortality rate,2010,7.412115957
United Arab Emirates,ARE, Infant mortality rate,2015,6.506168821
United Arab Emirates,ARE, Infant mortality rate,2017,6.166133154
United Arab Emirates,ARE, Infant mortality rate,2019,5.80330766
Argentina,ARG, Infant mortality rate,2000,17.57510325
Argentina,ARG, Infant mortality rate,2005,14.82349316
Argentina,ARG, Infant mortality rate,2010,12.93416073
Argentina,ARG, Infant mortality rate,2015,10.33236564
Argentina,ARG, Infant mortality rate,2017,9.125518289
Argentina,ARG, Infant mortality rate,2019,7.628570096
Armenia,ARM, Infant mortality rate,2000,27.00641538
Armenia,ARM, Infant mortality rate,2005,21.24980987
Armenia,ARM, Infant mortality rate,2010,16.56904912
Armenia,ARM, Infant mortality rate,2015,12.87222907
Armenia,ARM, Infant mortality rate,2017,11.64495506
Armenia,ARM, Infant mortality rate,2019,10.54229897
Antigua and Barbuda,ATG, Infant mortality rate,2000,12.59570667
Antigua and Barbuda,ATG, Infant mortality rate,2005,10.6043572
Antigua and Barbuda,ATG, Infant mortality rate,2010,8.328193968
Antigua and Barbuda,ATG, Infant mortality rate,2015,6.481034861
Antigua and Barbuda,ATG, Infant mortality rate,2017,5.965403361
Antigua and Barbuda,ATG, Infant mortality rate,2019,5.533211036
Australia,AUS, Infant mortality rate,2000,5.115718447
Australia,AUS, Infant mortality rate,2005,4.761803293
Australia,AUS, Infant mortality rate,2010,3.994606726
Australia,AUS, Infant mortality rate,2015,3.267467516
Australia,AUS, Infant mortality rate,2017,3.195800759
Australia,AUS, Infant mortality rate,2019,3.186209406
Austria,AUT, Infant mortality rate,2000,4.59385709
Austria,AUT, Infant mortality rate,2005,4.066597452
Austria,AUT, Infant mortality rate,2010,3.584160321
Austria,AUT, Infant mortality rate,2015,3.019665604
Austria,AUT, Infant mortality rate,2017,2.93130032
Austria,AUT, Infant mortality rate,2019,2.935279623
Azerbaijan,AZE, Infant mortality rate,2000,61.05018027
Azerbaijan,AZE, Infant mortality rate,2005,44.22368488
Azerbaijan,AZE, Infant mortality rate,2010,32.50096707
Azerbaijan,AZE, Infant mortality rate,2015,23.33240262
Azerbaijan,AZE, Infant mortality rate,2017,20.37525481
Azerbaijan,AZE, Infant mortality rate,2019,18.22555641
Burundi,BDI, Infant mortality rate,2000,94.72624623
Burundi,BDI, Infant mortality rate,2005,78.33258263
Burundi,BDI, Infant mortality rate,2010,59.42146
Burundi,BDI, Infant mortality rate,2015,46.29550234
Burundi,BDI, Infant mortality rate,2017,42.86511162
Burundi,BDI, Infant mortality rate,2019,40.0082503
Belgium,BEL, Infant mortality rate,2000,4.848586581
Belgium,BEL, Infant mortality rate,2005,4.152097055
Belgium,BEL, Infant mortality rate,2010,3.670190808
Belgium,BEL, Infant mortality rate,2015,3.358890362
Belgium,BEL, Infant mortality rate,2017,3.350858178
Belgium,BEL, Infant mortality rate,2019,3.384948948
Benin,BEN, Infant mortality rate,2000,85.03280692
Benin,BEN, Infant mortality rate,2005,76.60998833
Benin,BEN, Infant mortality rate,2010,69.64591326
Benin,BEN, Infant mortality rate,2015,63.29496521
Benin,BEN, Infant mortality rate,2017,60.79223868
Benin,BEN, Infant mortality rate,2019,58.04646144
Burkina Faso,BFA, Infant mortality rate,2000,90.7984849
Burkina Faso,BFA, Infant mortality rate,2005,80.62920979
Burkina Faso,BFA, Infant mortality rate,2010,68.31639005
Burkina Faso,BFA, Infant mortality rate,2015,59.72290254
Burkina Faso,BFA, Infant mortality rate,2017,56.93593019
Burkina Faso,BFA, Infant mortality rate,2019,54.23572645
Bangladesh,BGD, Infant mortality rate,2000,63.10614773
Bangladesh,BGD, Infant mortality rate,2005,49.34970623
Bangladesh,BGD, Infant mortality rate,2010,38.90367262
Bangladesh,BGD, Infant mortality rate,2015,30.95872452
Bangladesh,BGD, Infant mortality rate,2017,28.10199844
Bangladesh,BGD, Infant mortality rate,2019,25.33868253
Bulgaria,BGR, Infant mortality rate,2000,14.27577596
Bulgaria,BGR, Infant mortality rate,2005,11.04084859
Bulgaria,BGR, Infant mortality rate,2010,9.067120488
Bulgaria,BGR, Infant mortality rate,2015,6.810384395
Bulgaria,BGR, Infant mortality rate,2017,6.120192747
Bulgaria,BGR, Infant mortality rate,2019,5.590368087
Bahrain,BHR, Infant mortality rate,2000,10.74089594
Bahrain,BHR, Infant mortality rate,2005,9.140676071
Bahrain,BHR, Infant mortality rate,2010,7.252310494
Bahrain,BHR, Infant mortality rate,2015,6.360429067
Bahrain,BHR, Infant mortality rate,2017,6.211434259
Bahrain,BHR, Infant mortality rate,2019,6.084532993
Bahamas,BHS, Infant mortality rate,2000,13.96282185
Bahamas,BHS, Infant mortality rate,2005,14.53226439
Bahamas,BHS, Infant mortality rate,2010,13.30767001
Bahamas,BHS, Infant mortality rate,2015,12.03964551
Bahamas,BHS, Infant mortality rate,2017,11.78994091
Bahamas,BHS, Infant mortality rate,2019,15.37922641
Bosnia and Herzegovina,BIH, Infant mortality rate,2000,8.688718725
Bosnia and Herzegovina,BIH, Infant mortality rate,2005,7.757228246
Bosnia and Herzegovina,BIH, Infant mortality rate,2010,6.262371738
Bosnia and Herzegovina,BIH, Infant mortality rate,2015,5.428151337
Bosnia and Herzegovina,BIH, Infant mortality rate,2017,5.285635178
Bosnia and Herzegovina,BIH, Infant mortality rate,2019,5.08599186
Belarus,BLR, Infant mortality rate,2000,9.956800344
Belarus,BLR, Infant mortality rate,2005,6.728127907
Belarus,BLR, Infant mortality rate,2010,4.259719069
Belarus,BLR, Infant mortality rate,2015,3.097728566
Belarus,BLR, Infant mortality rate,2017,2.734280095
Belarus,BLR, Infant mortality rate,2019,2.358292008
Belize,BLZ, Infant mortality rate,2000,20.02633796
Belize,BLZ, Infant mortality rate,2005,17.85414557
Belize,BLZ, Infant mortality rate,2010,16.22030079
Belize,BLZ, Infant mortality rate,2015,13.17967708
Belize,BLZ, Infant mortality rate,2017,11.81835351
Belize,BLZ, Infant mortality rate,2019,10.58288338
Bolivia,BOL, Infant mortality rate,2000,55.84943376
Bolivia,BOL, Infant mortality rate,2005,43.18302148
Bolivia,BOL, Infant mortality rate,2010,33.16460155
Bolivia,BOL, Infant mortality rate,2015,25.59076487
Bolivia,BOL, Infant mortality rate,2017,23.4973397
Bolivia,BOL, Infant mortality rate,2019,21.67929559
Brazil,BRA, Infant mortality rate,2000,30.38776712
Brazil,BRA, Infant mortality rate,2005,22.0387121
Brazil,BRA, Infant mortality rate,2010,16.65836924
Brazil,BRA, Infant mortality rate,2015,14.25288838
Brazil,BRA, Infant mortality rate,2017,13.75396235
Brazil,BRA, Infant mortality rate,2019,13.35018234
Barbados,BRB, Infant mortality rate,2000,13.76337962
Barbados,BRB, Infant mortality rate,2005,14.40114461
Barbados,BRB, Infant mortality rate,2010,13.82028422
Barbados,BRB, Infant mortality rate,2015,13.0371732
Barbados,BRB, Infant mortality rate,2017,12.45630732
Barbados,BRB, Infant mortality rate,2019,11.74859456
Brunei,BRN, Infant mortality rate,2000,8.218439853
Brunei,BRN, Infant mortality rate,2005,7.65582837
Brunei,BRN, Infant mortality rate,2010,7.930844762
Brunei,BRN, Infant mortality rate,2015,8.777986442
Brunei,BRN, Infant mortality rate,2017,9.173899025
Brunei,BRN, Infant mortality rate,2019,9.539862735
Bhutan,BTN, Infant mortality rate,2000,57.39553994
Bhutan,BTN, Infant mortality rate,2005,44.68490246
Bhutan,BTN, Infant mortality rate,2010,34.11118827
Bhutan,BTN, Infant mortality rate,2015,27.44084965
Bhutan,BTN, Infant mortality rate,2017,25.50558827
Bhutan,BTN, Infant mortality rate,2019,23.87407608
Botswana,BWA, Infant mortality rate,2000,35.14217093
Botswana,BWA, Infant mortality rate,2005,41.35492748
Botswana,BWA, Infant mortality rate,2010,48.26142488
Botswana,BWA, Infant mortality rate,2015,36.58741651
Botswana,BWA, Infant mortality rate,2017,32.25205192
Botswana,BWA, Infant mortality rate,2019,29.91979853
Central African Republic,CAF, Infant mortality rate,2000,108.5054381
Central African Republic,CAF, Infant mortality rate,2005,100.4957567
